1、B站ID,2、使用B站频繁程度,3、性别,4、年龄,5、身高,6、体重,7、最高学历,8、常住地区,9、情感状态,10、经济情况,11、CGPA(绩点平均值),12、每月日常花销,13、(游戏(手游、网游、桌游等）),13、(动漫),13、(运动 (室内、户外）),13、(网购),13、(旅行),13、(养宠物),13、(美容护肤),13、(科技),13、(音乐 (乐器、唱歌等）),13、(看电影),13、(追星),13、(追电视剧、网剧、综艺等),13、(摄影),13、(绘画或书法),13、(个人理财),13、(收集手办),13、(舞蹈),13、(烹饪),13、(手工DIY),13、(研究汽车),大类1,大类3,大类4,大类5,大类11,大类13,大类23,大类36,大类119,大类129,大类155,大类160,大类167,大类177,大类181,大类188,大类202,大类211,大类217,大类223,大类234,小类1,小类3,小类4,小类5,小类11,小类13,小类17,小类19,小类20,小类21,小类22,小类23,小类24,小类25,小类26,小类27,小类28,小类29,小类30,小类31,小类32,小类33,小类36,小类37,小类47,小类51,小类59,小类65,小类71,小类75,小类76,小类83,小类85,小类86,小类95,小类119,小类121,小类122,小类124,小类126,小类127,小类129,小类130,小类136,小类137,小类138,小类145,小类146,小类147,小类152,小类153,小类154,小类155,小类156,小类157,小类158,小类159,小类160,小类161,小类162,小类164,小类167,小类168,小类169,小类170,小类171,小类172,小类173,小类176,小类177,小类178,小类179,小类180,小类181,小类182,小类183,小类184,小类185,小类187,小类188,小类192,小类193,小类194,小类195,小类198,小类199,小类200,小类201,小类202,小类203,小类204,小类205,小类206,小类207,小类208,小类209,小类210,小类211,小类212,小类213,小类214,小类215,小类216,小类217,小类218,小类219,小类220,小类221,小类222,小类223,小类224,小类225,小类226,小类227,小类228,小类229,小类230,小类231,小类232,小类233,小类234,小类235,小类236,小类237,小类238,小类239
,1,1,2,4,6,3,Fujian,2,1,5,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.231891584,0.525140462,0.353112113,0.154464415,0,0.007673718,0.002529989,1,0.140905326,0.074339519,0.050120102,0.691137881,0.107098433,0.108068011,0.187394588,0.227800039,0.949536145,0.16966008,0.452502702,0.032981269,0.187873307,0,0,0,0,0,0,0.375037717,0,0.061309884,1,0.158135999,0,0.083982478,0.058624113,0.046098966,0.26726589,0.276977304,0.139128759,0.047034596,0.29286953,0,0,0,0.119149607,0.106571527,0.018350375,0.185552153,0.098958789,0.207355553,0.32382816,0.09513706,0,0.113877335,0,0.136944294,0,0.007634292,0.291830416,0.75655447,0.092398207,0.003817146,0,0.177152478,0.036201107,0.162019462,0.441870529,0,0,0.006050033,0,0.053943358,0.061722961,0,0,0.037816046,0.068353212,0.013684325,0,0.026720021,0.047303282,0.058924179,0,0.080313853,0,0.065184695,0.09375766,0.12753784,0.105279329,0.049916112,0,0.035002941,0.051769057,0.052504411,0,0.141937563,0.115825953,0.076480996,0,0,0,0,0.137068051,0,0.056665529,0.011451437,0.033418682,0.009867179,0.356184544,0,0.691736383,0.472095191,0.549285332,0.557535066,0.181883232,0.193692606,0.081682124,0.038084732,0,0.053733257,0.104754458,0.068397847,0.083690206,0.036500473,0,0.229893206,0.2343003,0.068266486,0.180275294,0.045518748,0,0,0.013684325,0.015268583,0,0.495640713,0.033859475,0.025135762,0.110570116,0.223986236,0.048108109,0,0.108016361,0.161400048,0.023551503,0.09737453,0.136843245
,1,1,2,4,3,3,Zhejiang,2,1,2,2,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0.263233085,0.604121839,1,0.198846493,0,0.00704099,0.001509636,0.760932036,0.186274722,0.109336001,0.090083467,0.915527736,0.100446182,0.077390531,0.21940916,0.179248453,0.568489786,0.193805888,0.349741686,0.038206579,0.153763206,0,0,0,0,0,0,0.618171636,0,0.060770216,1,0.256711052,0,0.056178585,0.004384232,0.011333074,0.18124925,0.208786127,0.10256968,0.040203075,0.403463738,0,0.011333074,0,0.025897177,0.140176857,0,0.140581802,0.381506744,0.239935786,0.072842736,0.083050781,0,0.080256141,0.045253724,0.128383079,0,0.021921158,0.075435522,0.206599974,0.119547326,0,0,0.171705268,0.008768463,0.203834968,0.497919395,0,0,0,0,0.032915911,0.076251948,0,0.015717306,0.078816559,0.132513833,0.020101538,0,0.044587307,0.042022696,0.028870001,0,0.068642862,0,0.021076557,0.895790139,0.5026314,0.222674338,0.059817826,0,0.010179871,0,0.014564102,0,0.175713798,0.110279345,0.074332717,0,0,0,0,0.08997145,0,0.024485769,0.021921158,0.080998007,0.030281408,0.097763349,0,0,0,0,0,0.03466564,0.033999223,0.046973734,0.017536926,0,0.070048096,0.114710257,0,0.028870001,0.044179094,0,0.117766821,0.011333074,0.004384232,0.042120761,0.039010215,0,0.012308094,0,0,0.008768463,0.13132982,0.008768463,0.008768463,0.006948843,0.013152695,0.004384232,0,0.032101029,0.015717306,0.020101538,0.027716797,0.21982242
,1,1,2,4,3,1,Beijing,2,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323203591,0.567053248,1,0.167156663,0,0.245650613,0.055415619,0.753571244,0.184132319,0.086836515,0.090037188,0.921750482,0.113128449,0.071769749,0.214710443,0.157067121,0.536034509,0.220361847,0.269823539,0.038419839,0.158240581,0,0,0,0,0,0,0.620234819,0,0.034599815,1,0.169529566,0,0.170746708,0.043245523,0.032348091,0.470021431,0.286425235,0.083885802,0.037566994,0.249212821,0.662326478,0.740668019,0,0.052411459,0.236074679,0.096553254,0.184229151,0.309020453,0.175634122,0.047062383,0.133933278,0.057835246,0.060190103,0.024439274,0.09734966,0,0.01312772,0.218685526,0.358036092,0.108175351,0.006935648,0,0.148610104,0.015687461,0.041942901,0.694730419,0.120262922,0.081298063,0.108658661,0.130391023,0.074041273,0.03938316,0,0,0.123561105,0.07184299,0,0,0.069864781,0.037566994,0.123147582,0,0.140609948,0,0.030223908,0.669518837,0.409355377,0.135676649,0.075699719,0,0.01312772,0.008751813,0.055814197,0,0.241588132,0.101176255,0.041942901,0,0,0,0,0.071759371,0,0.0591757,0.004375907,0.006935648,0,0.276425198,0,0.320985181,0.17688516,0.32278032,0.194841581,0.059640792,0.26398693,0.099830976,0.033191088,0,0.176492318,0.193230648,0.027664167,0.069447234,0.073218402,0,0.094789918,0.027664167,0.02328826,0.02625544,0,0,0,0.004375907,0.004375907,0,0.254169544,0.072632546,0.01312772,0.008751813,0.061737586,0.058373938,0,0.110013574,0.073575537,0.017503627,0.040126736,0.229041421
,1,1,2,5,6,3,Zhejiang,1,1,5,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.263617824,0.384502423,1,0.103533135,0,0.162257831,0.027492985,0.621543765,0.105989144,0.063240702,0.056274261,0.718354473,0.063473257,0.042689468,0.180422262,0.201038159,0.308769202,0.154656234,0.174904928,0.045969043,0.096154012,0,0,0,0,0,0,0.904049784,0,0.043765254,0.878136863,0.048457445,0,0.051005524,0.047434898,0.01040647,0.353343616,0.08273943,0.061473613,0.068806448,0.19344319,0.065109351,0.101440679,0,0.010212682,0.116490991,0.0800527,0.062553525,0.683043874,0.069549904,0.056763573,0.083418261,0,0.093846105,0.016140201,0.469679984,0,0.030194985,0.18098651,0.263075105,0.014922722,0,0,0.082976771,0.031172122,0.044351285,0.36834346,0,0,0,0.015385586,0,0.043112434,0,0.002081294,0.016650352,0.049090171,0.007461361,0,0.069747556,0.091854174,0.013705243,0,0.035688374,0,0.003298773,1,0.405442474,0.200726035,0.104302683,0,0.008325176,0.017004016,0.006243882,0,0.118774346,0.062537075,0.110082294,0,0,0,0,0.05132841,0,0.006597546,0.004162588,0.02348824,0.014168107,0.239938433,0,0.044101973,0.02492824,0.143284934,0.01552527,0.06820888,0.076872574,0.061021659,0.060702195,0,0.040411789,0.079076443,0.032723784,0.048029637,0.015786537,0,0.097219203,0.047692349,0.015385586,0.042928638,0.004162588,0,0.023370473,0.011623949,0.024587952,0.010675546,0.187102828,0.013157791,0.091593991,0.072293709,0.11033242,0.014922722,0,0.029036725,0.013157791,0.023601561,0.028737164,0.146664419
,1,1,2,4,5,3,Sichuan,2,1,4,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.267688715,0.443049097,1,0.130952033,0,0.136033353,0.022431157,0.649909755,0.093400004,0.071611774,0.109403445,0.797862998,0.062298723,0.059213589,0.202807704,0.204088862,0.27256971,0.234463422,0.176699797,0.052353871,0.170648306,0,0,0,0,0,0,0.502164957,0,0.017488731,1,0.032123806,0,0.022367089,0.004878358,0,0.116475101,0.029270149,0.130672631,0.016205555,0.09170963,0,0,0,0.009756716,0.048329361,0,0.053771058,0.327277006,0.140087559,0.072016187,0.191172963,0,0.133147769,0.004878358,0.218190086,0,0.037002164,0.094768358,0.239069342,0,0.004878358,0,0.132957745,0.01546403,0.335520717,0.408510551,0,0,0,0,0.004878358,0.044734179,0,0.007732015,0.259592667,0.627821169,0.151035289,0,0.014635075,0.004878358,0.198701104,0,0.024391791,0,0,0.517317117,0.195337772,0.120386756,0.077145289,0,0.004878358,0,0.009756716,0,0.074335483,0.06222291,0.032123806,0,0,0,0,0.097068126,0,0,0.025220746,0.118952115,0,0.131781303,0,0.028330358,0.025220746,0.043681777,0.024818466,0.121291434,0.176679501,0.082026579,0.014635075,0,0.429371305,0.211689901,0.042167827,0.124553601,0.004878358,0,0.13142408,0.064587504,0.007732015,0.019513433,0,0,0,0.004878358,0,0,0.142103077,0.031511421,0.043362474,0.009756716,0.024391791,0.01546403,0,0.15433831,0.083650208,0.161576565,0.086565656,0.432645329
,2,2,2,3,3,1,Guangdong,2,1,4,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.214121575,0.339808126,1,0.124843839,0,0.070259049,0.022465653,0.52815823,0.07312585,0.059616756,0.213791322,0.795707718,0.040978539,0.049381189,0.207832719,0.14252933,0.155836896,0.238720236,0.16803245,0.046853872,0.157801753,0,0,0,0,0,0,0.221524908,0,0.003589483,1,0.039393931,0,0.004289387,0,0.002778174,0.091131446,0.027904134,0.092695777,0,0.077839204,0.001196494,0,0,0.031350046,0.048135502,0.004674573,0.023609427,0.138440696,0.159085052,0.059800052,0.258445214,0,0.086509885,0.014561247,0.130467773,0,0.001196494,0.100515185,0.203891641,0.012094792,0,0,0.129191497,0.00837546,0.214401303,0.332580915,0,0,0,0.003589483,0.002392989,0.02503642,0,0.001896399,0.745787836,0.454456205,0.155297652,0,0.055729318,0.032082538,0.126980178,0,0.01814773,0,0,0.354623184,0.103642818,0.148847359,0.021691585,0,0.027598194,0.01341787,0.050175813,0,0.147253207,0.159039929,0.120675125,0,0,0,0,0.118621611,0,0.003589483,0.004989292,0.051746824,0,0.140473802,0,0.002778174,0,0.003092893,0.001196494,0.019688706,0.101618552,0.021740213,0.010475173,0,0.156093092,0.25529017,0.014246527,0.068980066,0.003589483,0,0.092832411,0.074219686,0.010020687,0.046664806,0.007178966,0,0,0.002392989,0.003092893,0,0.103168078,0.003358984,0.012553443,0.01211963,0.01842451,0.008082185,0,0.036110323,0.031718796,0.021713028,0.056861275,0.313940692
,1,2,2,2,2,1,Guangdong,2,1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.214806779,0.35146983,1,0.134083505,0,0.06997509,0.022333048,0.531022611,0.073597293,0.060180112,0.215812812,0.804210195,0.04086741,0.049925507,0.218852287,0.141818791,0.163826786,0.238825903,0.172567114,0.046838814,0.157393317,0,0,0,0,0,0,0.158192577,0,0.034211465,1,0.034211465,0,0,0.034211465,0,0.15235889,0.395505234,0.166864499,0.095534876,0.274617067,0.017105733,0,0,0.092239541,0.068422931,0,0.129746341,0.034211465,0.693099151,0.241603444,0.017105733,0,0.261748193,0,0,0,0,0.083935959,0.200262956,0.083935959,0,0,0.324175612,0,0.612116374,0.36045794,0,0,0,0,0,0.085528664,0,0,0.247552953,0.164903453,0.017105733,0,0.06132341,0.068422931,0,0,0.017105733,0,0,0.371642085,0.105541088,0.102634396,0.034211465,0,0,0.017105733,0,0,0.156858286,0.570671401,0.61288476,0,0,0,0,0.401642694,0,0,0,0,0,0.099339061,0,0.415395614,0.089769646,0.373670537,0.286807304,0,0.167761992,0,0,0,0.051317198,0.078429143,0,0.051317198,0,0,0.220157019,0.056824014,0.056824014,0.147611468,0,0,0,0,0,0,0.214191151,0.017105733,0,0,0.017105733,0,0,0.034211465,0,0,0.034211465,0.23662172
,1,1,2,4,4,3,Hong Kong,2,1,6,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.208439105,0.43093582,0.919456205,0.161679825,0,0.056002866,0.016738242,0.522287381,0.069959134,0.143326653,0.333283202,1,0.040465367,0.056159237,0.244394377,0.136977553,0.134381032,0.309274335,0.218998994,0.044647532,0.177495868,0,0,0,0,0,0,0.577073288,0,0.018277581,0.834227712,0.157278098,0,0,0.015004939,0.020919764,0.137759836,0.152529369,0.103174923,0.053852388,0.28655619,0,0,0,0.018277581,0.268854947,0,0.286018522,0.205154507,0.119507553,0.005187014,0.307331539,0,0.152231196,0.003272642,0.175394264,0,0.025876419,0.228658922,0.175585441,0.060164545,0.01364667,0,0.206765742,0.046950997,0.055255839,1,0,0,0,0.003272642,0.019922084,0.01963585,0,0.003272642,0.042120091,0.021550222,0.009817925,0,0.035262016,0.041259274,0.065720587,0,0.013090566,0,0.009817925,0.250259049,0.257145381,0.191633217,0.026737236,0,0,0,0.020191953,0,0.176266156,0.102454481,0.025378967,0.006545283,0,0,0,0.038966985,0,0,0.003272642,0.003272642,0.009187466,0.183924714,0,0.003272642,0,0.010374028,0,0.035694344,0.167495163,0.028651609,0.034229971,0,0.100901114,0.153163683,0.02550833,0.068041691,0.081243081,0,0.099507191,0.008459656,0.003272642,0.022524424,0,0,0,0.003272642,0,0,0.214561306,0.016919312,0.01364667,0.04455004,0.016363208,0.050309878,0,0.016363208,0.038847449,0,0.034093897,0.157276111
,1,1,2,4,5,3,Guangxi,2,1,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.208507149,0.44753275,0.927478601,0.166192379,0,0.0550095,0.016441342,0.521527425,0.069028826,0.141216099,0.329227843,1,0.040740001,0.055473709,0.242134279,0.134962024,0.131997411,0.303952597,0.216568555,0.043855584,0.175809857,0,0,0,0,0,0,0.304253946,0,0,0.313946459,0.016229698,0,0.040574246,0,0,0.116843634,0.152012585,0.197740665,0.012861732,0.196717923,0,0,0,0.016229698,0.03814336,0,0.016229698,0.235617636,0.209859558,0.016229698,0.012861732,0,0.008114849,0,0.024344548,0,0.032459397,0.097401034,0.187308386,0,0,0,1,0,0.368587631,0.167041008,0,0,0,0,0.040574246,0,0,0,0.008114849,0.06723479,0.07014359,0,0.016229698,0.012861732,0.020976581,0,0.008114849,0,0.02909143,0.813801212,0.431615084,0.089263341,0,0,0,0,0.008114849,0,0.051005091,0.090642257,0.012861732,0,0,0,0,0.324336748,0,0,0.008114849,0.025723463,0,0.020976581,0,0,0,0,0,0.032459397,0.138434008,0.008114849,0.099547873,0,0,0,0,0,0.008114849,0,0.060532163,0,0,0.012861732,0.024344548,0,0,0,0,0,0.173722541,0.008114849,0,0,0.008114849,0,0,0.069293986,0.008114849,0,0.016229698,0.880140541
,1,1,2,5,5,5,Zhejiang,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.206719918,0.452644738,0.958833852,0.171054091,0,0.052434856,0.015502381,0.527428908,0.072196609,0.138290748,0.316961365,1,0.040152403,0.056468963,0.245978309,0.140025577,0.139140459,0.297611146,0.209400287,0.044725222,0.18339154,0.002255329,0,0,0,0,0,0.272995165,0,0.030428573,0.745650718,0.089759831,0,0.01651336,0.01259593,0.019653494,0.115967072,0.106178754,0.093707935,0.02685396,0.183688269,0,0,0,0.035875278,0.058092104,0.013097498,0.13410856,0.28265216,0.175778296,0.018042635,0.07097971,0,0.081638623,0.009021318,0.232656023,0,0.013531976,0.116179019,0.228172983,0.017106589,0.005829942,0,0.111710851,0.010340601,0.155805236,0.29209423,0,0,0,0,0.004510659,0.05263905,0,0.003574613,0.074184616,0.067781885,0.009021318,0,0.019361918,0.027012712,0.07295997,0,0.031154627,0,0.002255329,1,0.261565713,0.106966076,0.059082985,0,0.032859824,0.008085271,0.019361918,0,0.134248989,0.09586243,0.096517524,0,0,0,0,0.05230626,0,0.002255329,0.014984084,0.008085271,0.009021318,0.125779651,0,0.105262624,0.064346202,0.101846018,0.067717012,0.048150909,0.10282124,0.051176865,0.019361918,0,0.053465227,0.077094779,0.002255329,0.050726538,0.031906607,0,0.059788275,0.01259593,0.006765988,0.019361918,0.003574613,0,0,0,0.018868812,0,0.144053257,0.008085271,0.023662585,0.011276647,0.011276647,0.016170543,0,0.152719464,0.080009072,0.030045336,0.071375808,0.235240025
,1,2,2,4,2,1,Oversea,2,1,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.229058807,0.451694479,0.948016678,0.174922842,0,0.050361022,0.014380255,0.526074944,0.06976338,0.141469127,0.315373119,1,0.047532854,0.054744977,0.238005749,0.136814654,0.13166353,0.30783028,0.210690662,0.042896087,0.176934773,0,0,0,0,0,0,0.596822136,0,0.073365114,1,0.031751751,0,0.171213749,0.143973319,0.004153892,0.369526592,0.11835061,0.065444097,0.091367669,0.233931887,0,0.006583763,0,0.028277015,0.574123409,0.03163068,0.107744098,0.24435623,0.19523763,0.11750535,0.416143964,0,0.109488701,0.05351945,0.03942813,0,0.084572196,0.360042798,0.103045604,0.030414497,0,0,0.221327113,0.028277015,0.272798507,0.692154389,0,0,0,0,0.01581534,0.059491739,0,0,0.186187471,0.115933896,0.014891546,0,0.09604048,0.175857313,0.073270738,0,0.236193732,0,0.032844368,0.320421588,0.562398793,0.137666446,0.02492335,0,0,0,0.046078112,0,0.050797189,0.067168118,0.069439858,0,0,0,0,0.100086931,0,0.054449356,0.004153892,0.041444541,0,0.069974342,0,0.010737654,0,0.032212963,0,0.011661448,0.290680354,0.022106713,0.067705146,0,0.246278776,0.338506958,0.086893532,0.148991277,0.017321417,0,0.280360893,0.158864132,0,0.084310299,0,0,0.008307783,0,0,0,0.069842627,0.069690902,0.020769459,0.083783685,0.022106713,0.020769459,0,0.016615567,0.025629201,0.012461675,0.039814897,0.306745527
,1,2,2,3,4,3,Hong Kong,2,1,4,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.219272213,0.434965571,0.916591957,0.168318547,0,0.047729604,0.013628872,0.517536493,0.06629201,0.136559863,0.319817912,1,0.045309973,0.053063333,0.230591936,0.13139782,0.125392413,0.324803627,0.203071898,0.042327661,0.185266147,0,0,0,0,0,0,0.104998911,0,0,1,0.006416888,0,0,0,0,0.010170527,0.040567103,0.006416888,0,0.104994516,0,0,0,0,0,0,0.012833776,0.02131644,0.068415434,0.012833776,0.375580162,0,0.0568606,0,0.056179131,0,0,0.052164697,0.218123247,0,0,0,0.016587414,0.025070079,0.026757941,0.580238001,0,0,0,0,0,0.032084439,0,0,0.713854716,0.333736377,0.02942119,0,0.026757941,0.006416888,0.204231794,0,0.012833776,0,0,0.026757941,0.074717319,0.055088741,0.055088741,0,0.006416888,0,0.043682033,0,0.137492407,0.044918215,0.012833776,0,0,0,0,0.012833776,0,0,0.02942119,0.012833776,0,0.267191441,0,0,0,0.006416888,0,0.016587414,0.229209043,0.02942119,0.020341053,0,0.176732009,0.278429556,0.006416888,0.119047314,0,0,0.065259268,0.012833776,0,0.006416888,0,0,0,0,0,0,0.084887845,0.006416888,0.006416888,0,0.012833776,0.010170527,0,0.019250663,0.006416888,0.016587414,0.019250663,0.183773622
,1,1,2,4,3,3,Inner Mongolia,2,1,6,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.235548513,0.444934625,0.982909192,0.161021271,0,0.043122453,0.016998467,0.561806754,0.066841547,0.129922383,0.27441232,1,0.051639474,0.073363629,0.235844679,0.149431605,0.111031319,0.317725568,0.192369292,0.047044102,0.182239235,0,0,0,0,0,0,1,0,0.025808944,0.73485336,0.085954841,0,0.015036604,0.009078249,0.016415237,0.096429121,0.04902681,0.027061687,0,0.134169922,0,0,0,0.130374818,0.128884842,0,0.049265441,0.615787773,0.042315067,0.042352544,0.12837297,0.018221047,0.058970723,0.015729368,0.170313552,0,0.046831554,0.082530291,0.126535674,0.013085786,0.002757267,0,0.088908696,0.041561944,0.014464419,0.544568998,0.037894415,0.025613029,0.034237586,0.005248947,0,0.046358763,0,0.001378633,0.081375993,0.069846427,0.006893167,0,0.016777865,0.035485721,0.061564849,0,0.011534091,0,0.001378633,0.437610515,0.383187638,0.155988794,0.130166287,0,0.12680194,0.040121667,0.142297443,0,0.097311245,0.078523902,0.020785402,0.001378633,0,0,0,0.036522554,0,0,0.011396868,0.023363949,0.007699616,0.047988827,0,0.006480183,0.009650434,0.006320982,0,0.021801407,0.043151209,0.011029067,0.030993203,0,0.108185489,0.143397324,0.005958354,0.061509574,0.027412982,0,0.077361013,0.036117205,0,0.013448414,0,0,0.019396613,0.001378633,0.010900704,0,0.091464864,0.015772764,0.005514534,0.0041359,0.015460435,0.004942349,0,0.018600319,0.02562185,0.005514534,0.030906,0.142990024
,1,2,2,3,2,3,Guangdong,2,1,5,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0.243768034,0.449995911,0.879435694,0.160609181,0,0.053345505,0.011970093,0.593730733,0.082603754,0.114715146,0.240123832,1,0.049224536,0.089254753,0.250504231,0.154039324,0.151135005,0.341114869,0.19165204,0.044513708,0.178753748,0,0,0,0,0,0,0.072365834,0,0.007503828,0.364498708,0.007503828,0,0.007503828,0,0,0.079084031,0.038794226,0.019397113,0,0.06549281,0,0,0,0.007503828,0,0,0,0.074339599,0.13236236,0.015007655,0.30866332,0,0.041908596,0.007503828,0.036073563,0,0,0.067785249,0.039934831,0,0,0,0.039934831,0,0.034404768,0.239077434,0,0,0,0,0,0,0,0.011893285,0.019397113,0,0,0,0,0.007503828,0,0,0.044324289,0,0,0.301263033,0.125859748,0.276997402,0.011893285,0,0,0,0,0,0.22468367,0.156684871,0.03001531,0,0,0,0,0,0,0.007503828,0,0,0,0.019397113,0,0,0,0,0,0.007503828,0.144572001,0.032959193,0,0,0.366015283,1,0.034404768,0.597801951,0,0,0.007503828,0.015007655,0,0,0,0,0,0,0,0,0.007503828,0.011893285,0.007503828,0.056972489,0,0,0,0.007503828,0,0.015007655,0.015007655,0.076142876
,1,2,2,3,3,3,Jiangsu,2,1,4,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0.233929677,0.493833937,0.836505375,0.205679512,0,0.049237674,0.014693796,0.58785433,0.082341114,0.132630841,0.245337118,1,0.048370961,0.083767455,0.25161052,0.147484986,0.15557854,0.322542803,0.187796731,0.043099428,0.175528225,0,0,0,0,0,0,0.146579493,0,0.041036683,0.776489934,0.078623429,0,0.059179917,0.007647056,0.011389828,0.099436211,0.159015473,0.509428264,0.026681593,0.389274085,0,0,0,0.015175443,0.057437739,0.006127019,0.19621669,0.116954895,0.538719533,0.075051255,0.074973814,0.016844866,0.069821428,0.005314608,0.059681747,0,0.021637701,0.14408706,0.258508202,0.055960738,0.005843577,0,0.4090638,0.017724462,1,0.293507332,0.035032951,0.023678553,0.03164689,0.001274509,0,0.132056099,0,0.06836657,0.337863642,0.191658572,0.102106101,0,0.041859571,0.063055501,0.11950457,0,0.053811203,0,0.012626424,0.139340292,0.087183095,0.09661076,0.050822457,0,0.007118087,0.005598049,0.014646474,0,0.122601443,0.237511748,0.112612343,0.010293977,0,0,0,0.396727266,0,0.0197843,0.092049168,0.37392015,0.012499565,0.165379714,0,0.131577701,0.100232017,0.089601077,0.111058018,0.064528285,0.192574539,0.053312366,0.007118087,0,0.031431666,0.064273656,0.002549019,0.024507308,0.017195492,0,0.085564376,0.058776988,0.016949964,0.048745378,0.006589118,0,0,0.004569068,0.006372547,0,0.151855123,0.014131075,0.017314161,0.012716136,0.042821494,0.011441627,0,0.044130206,0.061947324,0.010196074,0.04687207,0.841921986
